Questions
Please provide me extension number for IT  HR Admin team
I have some issue. to which department I have to raise ticket
What is the email address of IT  HR Admin team
Ac is not working. So please provide me a fan near my place tell me the contact details
i need to know the Emergency contact number
There is no water can . Please provide me contact number. 
my place is so tidy. Please provide me the contact details 
how to reach to IT HR Admin and so?
Please provide me Notepad testpad my workstation number is 
I need to know Security guard number?
I lost my belonging. . whom should i approach?
I forgot to bring my id card . whom should i approach
I need to get access to my vehicle. who should i reach?
i need to know my parking slot. please provide me contact details. 
I need to file a complaint against the food provided in canteen. How to reach?
I have a complaint about someone. Please provide me contact number. 
I have issues while parking my vehicle. Pls help me
my lock key is being lost. I have to replace it with new one. help me?
vending machine is not working . whom should i contact?
i have some complaint against my head. what should i do?
